fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2024-12-31,,450256000000,163711000000,23466000000,23466000000,,,286545000000,,,,,31885000000,,37982000000.0,72191000000,15714000000,,125172000000,89122000000,,,,2887000000.0,36050000000,14578000000.0,10883000000.0,,,25461000000.0,64430000000,4694000000.0,325084000000,,245084000000,84800000000,12447000000
2023-12-31,,402392000000,171530000000,24048000000,24048000000,,,230862000000,,,,,29198000000,,31008000000.0,86868000000,12650000000,,119013000000,81814000000,,,,2791000000.0,37199000000,16634000000.0,11870000000.0,,,27121000000.0,64645000000,1616000000.0,283379000000,,211247000000,76534000000,12722000000
2022-12-31,,365264000000,164795000000,21879000000,21879000000,2670000000.0,,200469000000,112668000000.0,,2084000000.0,2084000000.0,28960000000,,30492000000.0,91883000000,8105000000,,109120000000,69300000000,,,,2477000000.0,39820000000,16822000000.0,12857000000.0,,,29679000000.0,48529000000,24605000000.0,256144000000,,195563000000,68184000000,13159000000
2021-12-31,,359268000000,188143000000,20945000000,20945000000,1170000000.0,,171125000000,97599000000.0,,1417000000.0,1417000000.0,22956000000,,29549000000.0,118704000000,8020000000,,107633000000,64254000000,,,,2189000000.0,43379000000,11389000000.0,14817000000.0,,,26206000000.0,51932000000,23305000000.0,251635000000,,191484000000,61774000000,13553480000
2020-12-31,,319616000000,174296000000,26465000000,26465000000,728000000.0,,145320000000,84749000000.0,,1445000000.0,1445000000.0,21175000000,,20703000000.0,110229000000,5490000000,,97072000000,56834000000,,,,1694000000.0,40238000000,11146000000.0,13932000000.0,,,25078000000.0,45523000000,22745000000.0,222544000000,,163401000000,58510000000,13740560000
