fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2024-12-31,,134340000000,164501000000,30161000000,30161000000,69380000000,9740000000.0,43873000000,64960000000,,1973000000.0,2517000000.0,544000000,,,,15498000000.0,70663000000,8303000000.0,,62360000000.0,,71378000000.0,86876000000,62360000000
2023-12-31,,108943000000,134902000000,25959000000,25959000000,46751000000,11408000000.0,38483000000,62192000000,,677000000.0,1639000000.0,446000000,,-150000000.0,,10382000000.0,47428000000,8330000000.0,,29734000000.0,,46751000000.0,57133000000,39098000000
2022-12-31,,91360000000,116609000000,25249000000,25249000000,28944000000,11816000000.0,35338000000,62416000000,,-125000000.0,461000000.0,185000000,,-320000000.0,,8686000000.0,28819000000,5619000000.0,,23200000000.0,,28944000000.0,37630000000,23200000000
2021-12-31,,95280000000,117929000000,22649000000,22649000000,46753000000,9829000000.0,24655000000,48527000000,,531000000.0,484000000.0,461000000,,210000000.0,,7967000000.0,47284000000,7914000000.0,,39370000000.0,,46753000000.0,54720000000,39370000000
2020-12-31,,69273000000,85965000000,16692000000,16692000000,32671000000,6564000000.0,18447000000,36602000000,,509000000.0,672000000.0,672000000,,-34000000.0,,6862000000.0,33180000000,4034000000.0,,29146000000.0,,32671000000.0,39533000000,29146000000
