fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2024-12-31,,276054000000.0,100045000000.0,43889000000.0,43889000000.0,,,176009000000.0,,,915000000.0,915000000.0,20654000000.0,,6070000000.0,33926000000.0,5236000000.0,,93417000000.0,33596000000.0,,,,1942000000.0,59821000000.0,20234000000.0,28826000000.0,,,49060000000.0,13980000000.0,2716000000.0,182637000000.0,,102506000000.0,,2614000000
2023-12-31,,229623000000.0,85365000000.0,41862000000.0,41862000000.0,,,144258000000.0,,,788000000.0,788000000.0,20654000000.0,,6141000000.0,23541000000.0,3793000000.0,,76455000000.0,31960000000.0,,,,1623000000.0,44495000000.0,18849000000.0,18385000000.0,,,37234000000.0,21833000000.0,1370000000.0,153168000000.0,,82070000000.0,,2629000000
2022-12-31,,185727000000.0,59549000000.0,14681000000.0,14681000000.0,,,126178000000.0,92191000000.0,,897000000.0,897000000.0,20306000000.0,,6201000000.0,26057000000.0,5345000000.0,,60014000000.0,27026000000.0,,,,1367000000.0,32988000000.0,16668000000.0,9923000000.0,,,26591000000.0,4906000000.0,15301000000.0,125713000000.0,,64799000000.0,64444000000.0,2702000000
2021-12-31,,165987000000.0,66666000000.0,16601000000.0,16601000000.0,,,99321000000.0,69964000000.0,,634000000.0,634000000.0,19197000000.0,,6775000000.0,31397000000.0,4629000000.0,,41108000000.0,21135000000.0,,,,1127000000.0,19973000000.0,13873000000.0,,,,13873000000.0,15364000000.0,19973000000.0,124879000000.0,,69761000000.0,55811000000.0,2859000000
2020-12-31,,159316000000.0,75670000000.0,17576000000.0,17576000000.0,,,83646000000.0,54981000000.0,,623000000.0,623000000.0,19050000000.0,,6234000000.0,44378000000.0,2381000000.0,,31026000000.0,14981000000.0,,,,1023000000.0,16045000000.0,10654000000.0,,,,10654000000.0,12245000000.0,16045000000.0,128290000000.0,,77345000000.0,50018000000.0,2888000000
